meting,stoel,tijd,nagalmtijd,raw_recording,x,y,z
Meting 27,4 5 1 ,2023-03-23 11:03:16.574756,0.7108010589349085,"[[ 0.        ]
 [ 0.00582886]
 [ 0.00576782]
 ...
 [-0.00079346]
 [-0.00079346]
 [-0.00085449]]",4,3,3
Meting 28,4 6 1,2023-03-23 11:04:46.391660,0.4032748605954972,"[[0.0000000e+00]
 [5.7373047e-03]
 [6.1645508e-03]
 ...
 [6.1035156e-05]
 [0.0000000e+00]
 [0.0000000e+00]]",5,3,3
Meting 29,4 7 1,2023-03-23 11:05:31.329404,0.4199598642782043,"[[0.        ]
 [0.00424194]
 [0.00427246]
 ...
 [0.0010376 ]
 [0.00067139]
 [0.00094604]]",6,3,3
Meting 30,4 8 1,2023-03-23 11:06:22.362310,0.4697090560851767,"[[ 0.        ]
 [ 0.00720215]
 [ 0.00744629]
 ...
 [-0.00036621]
 [-0.00036621]
 [-0.00039673]]",7,3,3
Meting 31,5 1 1,2023-03-23 11:07:41.740038,0.38496691882982004,"[[ 0.0000000e+00]
 [ 6.5002441e-03]
 [ 6.5002441e-03]
 ...
 [ 1.2207031e-04]
 [ 2.1362305e-04]
 [-6.1035156e-05]]",0,2,2
Meting 32,5 2 1,2023-03-23 11:08:59.282090,0.45139962324509497,"[[0.0000000e+00]
 [5.7067871e-03]
 [5.7067871e-03]
 ...
 [3.0517578e-05]
 [1.8310547e-04]
 [1.5258789e-04]]",1,2,2
Meting 33,5 3 1,2023-03-23 11:10:22.744542,0.4209670100945333,"[[ 0.0000000e+00]
 [ 6.3781738e-03]
 [ 6.6833496e-03]
 ...
 [ 1.8310547e-04]
 [-3.0517578e-05]
 [ 9.1552734e-05]]",2,2,2
Meting 34,5 4 1,2023-03-23 11:11:34.203557,0.4975599433873733,"[[ 0.0000000e+00]
 [ 6.6833496e-03]
 [ 6.8969727e-03]
 ...
 [-1.2207031e-04]
 [-2.1362305e-04]
 [-3.0517578e-05]]",3,2,2
Meting 35,5 5 1,2023-03-23 11:12:23.839695,0.5561819461720301,"[[0.        ]
 [0.00668335]
 [0.00695801]
 ...
 [0.00012207]
 [0.00018311]
 [0.00015259]]",4,2,2
Meting 36,5 6 1,2023-03-23 11:12:59.752374,0.49903171932006685,"[[ 0.        ]
 [ 0.00610352]
 [ 0.006073  ]
 ...
 [-0.00073242]
 [-0.00067139]
 [-0.00039673]]",5,2,2
