Stoel,Tijd,Nagalmtijd,x,y,z
1 1 2,2023-03-23 12:12:35.328867,0.7191091221035142,2,6,6
1 2 2,2023-03-23 12:13:19.373537,-15.772877561615786,3,6,6
1 3 2,2023-03-23 12:14:19.531809,1.0617108432777886,4,6,6
1 4 2,2023-03-23 12:15:26.867866,1.088748333186583,5,6,6
1 5 2,2023-03-23 12:16:02.858770,0.479002585919261,6,6,6
1 6 2,2023-03-23 12:17:40.186717,1.2548025352365229,7,6,6
2 1 2,2023-03-23 12:18:34.915110,1.0562670707608801,0,5,5
2 2 2,2023-03-23 12:19:06.876740,0.5721956650303164,1,5,5
3 2 2,2023-03-23 12:19:36.677070,0.6166335122135949,2,5,5
4 2 2,2023-03-23 12:20:15.505390,0.5481264723521475,3,5,5
5 2 2,2023-03-23 12:20:49.212082,0.684976517561577,4,5,5
6 2 2,2023-03-23 12:21:21.867883,0.5562486306294714,5,5,5
7 2 2,2023-03-23 12:21:53.212271,0.6335846425299941,6,5,5
8 2 2,2023-03-23 12:22:21.393377,0.6571790076944097,7,5,5
1 3 2,2023-03-23 12:23:06.836721,0.7907718966028234,0,4,4
2 3 2,2023-03-23 12:23:34.840038,0.5134310006348273,1,4,4
3 3 2,2023-03-23 12:24:11.573834,0.571028891690083,2,4,4
4 3 2,2023-03-23 12:24:38.961326,0.5351589600907594,3,4,4
5 3 2,2023-03-23 12:25:14.765389,0.5411026060696846,4,4,4
6 3 2,2023-03-23 12:26:00.844904,0.4535939181703942,5,4,4
7 3 2,2023-03-23 12:26:30.279313,0.5424257045192697,6,4,4
8 3 2,2023-03-23 12:26:58.755011,0.6036751352316618,7,4,4
1 4 2,2023-03-23 12:27:51.256870,0.5862327469902655,0,3,3
2 4 2,2023-03-23 12:28:39.649080,0.8639246403671926,1,3,3
3 4 2,2023-03-23 12:29:17.457107,0.5355360930660514,2,3,3
4 4 2,2023-03-23 12:29:58.261180,0.5470530945774937,3,3,3
5 4 2,2023-03-23 12:30:33.990974,0.5314031386794983,4,3,3
6 4 2,2023-03-23 12:31:04.439180,0.4419007124046163,5,3,3
7 4 2,2023-03-23 12:31:34.863861,0.5706899424752737,6,3,3
8 4 2,2023-03-23 12:32:17.358942,0.542354155924124,7,3,3
1 5 2,2023-03-23 12:33:10.753073,0.4622252084353856,0,2,2
2 5 2,2023-03-23 12:33:40.327584,0.47122750905481525,1,2,2
3 5 2,2023-03-23 12:34:08.709746,0.4623180653178138,2,2,2
4 5 2,2023-03-23 12:35:06.538269,0.8660819020353127,3,2,2
5 5 2,2023-03-23 12:35:42.530378,0.8433761231014607,4,2,2
6 5 2,2023-03-23 12:36:57.146007,0.5972664010296073,5,2,2
7 5 2,2023-03-23 12:37:30.893828,0.513079465811102,6,2,2
8 5 2,2023-03-23 12:38:11.405531,0.5339446467297178,7,2,2
1 6 2,2023-03-23 12:38:58.052056,0.8078978622617953,0,1,1
2 6 2,2023-03-23 12:39:44.165416,0.6004964588912368,1,1,1
3 6 1,2023-03-23 12:40:10.284855,0.6171809541867913,2,1,1
4 6 2,2023-03-23 12:40:53.932386,0.682286714777956,3,1,1
5 6 2,2023-03-23 12:41:29.467053,0.6146298909695245,4,1,1
6 6 2,2023-03-23 12:42:00.300455,0.519085215703076,5,1,1
7 6 2,2023-03-23 12:42:34.298771,0.5007079177307712,6,1,1
8 6 2,2023-03-23 12:43:06.272085,0.504097229587106,7,1,1
1 7 2,2023-03-23 12:43:56.361450,0.5132985300745252,0,0,0
2 7 2,2023-03-23 12:44:26.833346,0.4649110271915418,1,0,0
3 7 2,2023-03-23 12:45:08.435370,0.4076789883442902,2,0,0
4 7 2,2023-03-23 12:46:08.566158,0.7258387593195099,3,0,0
5 7 2,2023-03-23 12:46:46.075552,0.4784839684039932,4,0,0
6 7 2,2023-03-23 12:47:17.948528,0.5687334191115674,5,0,0
7 7 2,2023-03-23 12:47:47.028785,1.2097917618429392,6,0,0
8 7 2,2023-03-23 12:48:18.812002,0.6081766143888627,7,0,0
