Stoel,Tijd,Nagalmtijd,x,y,z
1 1 3,2023-03-23 13:21:19.051923,0.6998574646742116,2,6,6
2 1 3,2023-03-23 13:21:54.291470,0.6938439554024326,3,6,6
3 1 3,2023-03-23 13:26:45.795768,0.6825328428656112,4,6,6
4 1 3,2023-03-23 13:27:22.168010,0.5901059080250998,5,6,6
5 1 3,2023-03-23 13:28:19.765839,0.512379156171255,6 6 6,6,6
6 1 3,2023-03-23 13:29:10.681181,0.6127390129029938,7,6,6
1 2 3,2023-03-23 13:29:59.509506,1.1394015018613344,0,5,5
2 2 3,2023-03-23 13:30:33.149731,0.7108053425361677,1,5,5
3 2 3,2023-03-23 13:30:57.311279,0.7652301359685169,2,5,5
4 2 3,2023-03-23 13:31:27.375290,0.5984287710948241,3,5,5
5 2 3,2023-03-23 13:31:55.783711,0.6897172216876635,4,5,5
6 2 3,2023-03-23 13:32:17.754486,0.5889027335023316,5,5,5
7 2 3,2023-03-23 13:32:48.072815,0.5085658173476456,6,5,5
8 2 3,2023-03-23 13:33:46.317529,0.6072536049021072,7,5,5
1 3 3,2023-03-23 13:35:19.754478,1.8842630583818276,0,4,4
2 3 3,2023-03-23 13:36:55.202571,0.5056484247700802,1,4,4
3 3 3,2023-03-23 13:37:28.270149,0.6104202942292704,2,4,4
4 3 3,2023-03-23 13:37:53.878310,0.6206468166755749,3,4,4
5 3 3,2023-03-23 13:38:23.474726,0.6105236123255716,4,4,4
6 3 3,2023-03-23 13:38:48.168505,0.5466722109479416,5,4,4
7 3 3,2023-03-23 13:39:12.474068,0.5310230942304618,6,4,4
8 3 3,2023-03-23 13:39:59.472198,0.5261519987863063,7,4,4
1 4 3,2023-03-23 13:40:36.990193,0.5881573813328481,0,3,3
2 4 3,2023-03-23 13:41:10.285923,1.4031670895388544,1,3,3
3 4 3,2023-03-23 13:41:39.496631,0.5461499165503133,2,3,3
4 4 3,2023-03-23 13:42:07.175153,0.5364625325878359,3,3,3
5 4 3,2023-03-23 13:42:33.260336,0.5816156389258526,4,3,3
6 4 3,2023-03-23 13:42:57.943170,0.5273144694704556,5,3,3
7 4 3,2023-03-23 13:43:27.823912,0.5389945160579231,6,3,3
8 4 3,2023-03-23 13:43:54.284957,0.5147680729272713,7,3,3
1 5 3,2023-03-23 13:44:58.481053,0.5587622575918226,0,2,2
2 5 3,2023-03-23 13:45:28.127303,0.44210119803622067,1,2,2
3 5 3,2023-03-23 13:45:55.094451,0.48982470583768034,2,2,2
4 5 3,2023-03-23 13:46:59.625637,1.2261760505823787,3,2,2
5 5 3,2023-03-23 13:47:25.468345,0.8019187413892187,4,2,2
6 5 3,2023-03-23 13:47:53.362404,0.5133687850538422,5,2,2
7 5 3,2023-03-23 13:48:23.191229,0.4676375803426952,6,2,2
8 5 3,2023-03-23 13:48:54.771245,0.46648873695086657,7,2,2
1 6 3,2023-03-23 13:49:38.350706,0.7588254488226972,0,1,1
2 6 3,2023-03-23 13:50:46.677154,0.7912318339361165,1,1,1
3 6 3,2023-03-23 13:51:43.647670,0.6087428748720505,2,1,1
4 6 3,2023-03-23 13:52:09.460357,0.5964892595420415,3,1,1
5 6 3,2023-03-23 13:52:36.572879,0.5423247707139359,4,1,1
6 6 3,2023-03-23 13:53:38.609468,0.7044254106077877,5,1,1
7 6 3,2023-03-23 13:54:01.398220,0.5034364464006335,6,1,1
8 6 3,2023-03-23 13:54:29.167256,0.5228228964778917,7,1,1
1 7 3,2023-03-23 13:55:25.121639,0.565393486358878,0,0,0
2 7 3,2023-03-23 13:56:12.008434,0.5561011219178518,1,0,0
3 7 3,2023-03-23 13:56:39.982233,0.5004715272796334,2,0,0
4 7 3,2023-03-23 13:57:05.078888,0.8891251101210145,3,0,0
5 7 3,2023-03-23 13:57:38.523199,0.45303267110647,4,0,0
6 7 3,2023-03-23 13:58:05.926132,0.5394650231711966,5,0,0
7 7 3,2023-03-23 13:58:35.522480,0.6456942513585652,6,0,0
8 7 3,2023-03-23 13:59:10.421936,0.5886410569013041,7,0,0
